gene,avg_logFC,avg(logUMI)_cluster_4,avg(logUMI)_cluster_all,p_val,p_val_adj,cluster,Tabulo,
Zfhx3,-0.805321224,0.107202635,0.591191609,2.57E-22,3.12E-18,4,,
Mgl2,-0.811298045,0.085609969,0.348353469,8.27E-06,0.100498573,4,,
Xist,-0.811634173,1.669262491,2.421700006,8.14E-34,9.89E-30,4,,
Socs3,-0.814745705,0.354066948,0.813678937,1.56E-11,1.90E-07,4,,
AW112010,-0.817234603,0.554416635,0.582987369,0.000137553,1,4,,
Ywhah,-0.820398623,0.935082422,1.614952549,1.58E-34,1.92E-30,4,,
Scamp2,-0.822005989,0.443030237,1.024006,4.27E-23,5.19E-19,4,,
Ier5,-0.824215316,1.28854993,2.008993645,2.14E-27,2.59E-23,4,,
Blnk,-0.824538559,0.024576982,0.513246852,3.72E-30,4.52E-26,4,,
Pmepa1,-0.825640833,0.031465713,0.505119287,1.76E-26,2.13E-22,4,,
Comt,-0.830000141,0.411455695,1.001179636,2.07E-23,2.51E-19,4,,
Tmem176a,-0.835466236,0.334584084,1.0316172,1.55E-26,1.88E-22,4,,
Irf8,-0.837083788,0.771792284,1.372806931,8.81E-25,1.07E-20,4,,
Gas6,-0.837750307,0.002644769,0.461875315,5.95E-29,7.22E-25,4,,
Cd33,-0.847107757,0.085742344,0.623191644,3.02E-28,3.66E-24,4,,
Lrba,-0.854497244,0.02439939,0.486102439,2.48E-25,3.01E-21,4,,
Klrd1,-0.855010516,0.079967702,0.380961888,8.43E-09,0.00010235,4,,
Pik3r1,-0.857459204,0.163445869,0.708287878,8.50E-23,1.03E-18,4,,
C3ar1,-0.863836464,0.053201819,0.550503498,9.08E-26,1.10E-21,4,,
P2ry6,-0.872816744,0.294114572,0.862748541,9.66E-23,1.17E-18,4,,
Aif1,-0.87307238,0.792755148,1.662911506,8.90E-30,1.08E-25,4,,
Daglb,-0.875025504,0.204268057,0.790341984,4.30E-24,5.23E-20,4,,
Cd83,-0.878115149,0.434066718,1.020377991,2.53E-13,3.07E-09,4,,
Srgap2,-0.886215393,0.120202888,0.67244649,6.10E-25,7.41E-21,4,,
Adap2,-0.891627574,0.032371281,0.552041254,3.97E-29,4.83E-25,4,,
Cd164,-0.89711078,0.110499713,0.664740589,2.04E-26,2.48E-22,4,,
Cd37,-0.91062106,0.373166999,1.071161481,4.17E-28,5.06E-24,4,,
Gna15,-0.913015632,0.106714593,0.66424894,1.23E-28,1.49E-24,4,,
Txnip,-0.920954049,0.456975833,1.019550939,1.55E-16,1.89E-12,4,,
Cebpa,-0.922563794,0.190301092,0.710786679,1.24E-19,1.51E-15,4,,
Cd74,-0.931740978,1.984740601,1.640542539,1.38E-23,1.68E-19,4,,
Arhgap5,-0.944024921,0.068467363,0.661834564,3.63E-31,4.41E-27,4,,
Gpr183,-0.945088834,0.090264503,0.652586797,3.25E-27,3.95E-23,4,,
